# Radius(nm)	H1_g(r)	H2_g(r)	NAC_g(r)	C-term_g(r)
11.350000 0.000000 0.000000 0.000000 0.000000
11.450000 0.000000 0.000000 0.000000 0.000000
11.550000 0.000000 0.000000 0.000000 0.000000
11.650000 0.000000 0.000000 0.000000 0.000000
11.750000 0.000000 0.000000 0.000000 0.000000
11.850000 0.000000 0.000000 0.000000 0.000000
11.950000 0.000000 0.000000 0.000000 0.000000
12.050000 0.000000 0.000000 0.000000 0.000000
12.150000 0.000000 0.000000 0.000000 0.000000
12.250000 0.000000 0.000000 0.000000 0.000000
12.350000 0.000000 0.000000 0.000000 0.000000
12.450000 0.000000 0.000000 0.000000 0.000000
12.550000 0.000000 0.000000 0.000000 0.000000
12.650000 0.000000 0.000000 0.000000 0.000000
12.750000 0.000000 0.000000 0.000000 0.000000
12.850000 0.000000 0.000000 0.000000 0.000000
12.950000 0.000000 0.000000 0.000000 0.000000
13.050000 0.000000 0.000000 0.000000 0.000000
13.150000 0.000000 0.000000 0.000000 0.000000
13.250000 0.000000 0.000000 0.000000 0.000000
13.350000 0.000000 0.000000 0.000000 0.000000
13.450000 0.000000 0.000000 0.000000 0.000000
13.550000 0.000000 0.000000 0.000000 0.000000
13.650000 0.000000 0.000000 0.000000 0.000000
13.750000 0.000000 0.000000 0.000000 0.000000
13.850000 0.000000 0.000000 0.000000 0.000000
13.950000 0.000000 0.000000 0.000000 0.000000
14.050000 0.000000 0.000000 0.000000 0.000000
14.150000 0.000000 0.000000 0.000000 0.000000
14.250000 0.000000 0.000000 0.000000 0.000000
14.350000 0.000000 0.000000 0.000000 0.000000
14.450000 0.000000 0.000000 0.000000 0.000000
14.550000 0.000000 0.000000 0.000000 0.000000
14.650000 0.000000 0.000000 0.000000 0.000000
14.750000 0.000000 0.000000 0.000000 0.000000
14.850000 0.000000 0.000000 0.000000 0.000000
14.950000 0.000000 0.000000 0.000000 0.000000
